TF	M1	M2	M3	M4	M5	M6	M7
GRHL1	-1.1711932588403648	-0.7995525299284845	-1.5208410151355243	-1.2484659620808498	-1.9116992880719088	0.8485125146846528	-1.0083502487229843
GRHL2	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	0.07507712943728784	1.0501271345291707	-1.4927894693524473	-1.386932043643891
HBP1	-1.6169531538284387	-1.5849481079737007	1.6626204948724324	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
HES1	-1.5753925570420884	-1.5849481079737007	-1.5208410151355243	-1.0838492532657649	-1.2048856754139428	1.304733055666337	-1.386932043643891
HESX1	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	2.099070604422164	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
HEY1	-1.6169531538284387	-1.5849481079737007	0.3609687554879937	-1.2484659620808498	-1.9048554935146773	-0.0003718382242405303	-1.386932043643891
HEY2	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.15439280658757754	1.4657584008248383	-1.4927894693524473	-1.386932043643891
HIF1A	-0.05674768466345403	-1.1546764892131176	-0.8601353400805938	-0.9269059654711317	-0.8208605598257089	-1.0641719623178303	-1.386932043643891
HINFP	0.9940840105246079	-1.5849481079737007	-1.2059487182364408	-1.2484659620808498	-1.9307926551557206	-0.12747499274380883	-1.1910449657477364
HMBOX1	-1.6169531538284387	-1.5849481079733487	-0.5838298114663175	-1.2484659620808498	-1.9190320087497468	0.9773545588125122	-1.386932043643525
HMX2	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	2.106317182124414	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
HNF4G	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.1820252538277757	1.4892514048684653	-1.4927894693524473	-1.386932043643891
HOXA11	-1.6169531538284387	1.1588941359311993	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.7007428733992066
HOXA13	-1.2799290486742765	1.8959351603166892	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-0.167204704468833
HOXA7	0.3082072356170814	1.644535878245697	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.187540217280331
